GameID	    GameID alt.	Hash	         Name
SLES-54604	SLES_546.04	0xE539C16935	!Qu? pasa Neng! El videojuego
SLPS-25527	SLPS_255.27	0x70C17CD155	.hack//Fragment
SLUS-21258	SLUS_212.58	0x54A955F995	.hack//G.U. Vol.1 - Rebirth
SLUS-29199	SLUS_291.99	0x1CE915B9FD	.hack//G.U. Vol.1 - Rebirth
SLPS-25651	SLPS_256.51	0x91219C3195	.hack//G.U. Vol.1 - Saitan
SLPS-25756	SLPS_257.56	0xB909B419C5	.hack//G.U. Vol.1 - Saitan [Bandai the Best]
SLPS-73259	SLPS_732.59	0x4FA11CB1D5	.hack//G.U. Vol.1 - Saitan [PlayStation 2 the Best]
SLPS-25755	SLPS_257.55	0xB909B419FD	.hack//G.U. Vol.1 - Saitan [Welcome Price!!]
SLPS-25655	SLPS_256.55	0x91219C31B5	.hack//G.U. Vol.2 - Kimi Omou Koe
SLPS-73266	SLPS_732.66	0x4FA11CB11D	.hack//G.U. Vol.2 - Kimi Omou Koe [PlayStation 2 the Best]
SLUS-21488	SLUS_214.88	0x6C916DC17D	.hack//G.U. Vol.2 - Reminisce
SLPS-25656	SLPS_256.56	0x91219C31CD	.hack//G.U. Vol.3 - Aruku Youna Hayasa de
SLPS-73267	SLPS_732.67	0x4FA11CB115	.hack//G.U. Vol.3 - Aruku Youna Hayasa de [PlayStation 2 the Best]
SLUS-21489	SLUS_214.89	0x6C916DC175	.hack//G.U. Vol.3 - Redemption
SLKA-25080	SLKA_250.80	0xE098EA41BD	.hack//Part 1 - Infection
SCES-52237	SCES_522.37	0xB36971386D	.hack//Part 1 - Infection
SLES-52237	SLES_522.37	0xB36991396D	.hack//Part 1 - Infection
SLUS-20267	SLUS_202.67	0x5BA15DF195	.hack//Part 1 - Infection
SLUS-29042	SLUS_290.42	0xC431CD61CD	.hack//Part 1 - Infection [Demo]
SLUS-28023	SLUS_280.23	0xC331CD61E5	.hack//Part 1 - Infection [Trade Demo]
SLKA-25138	SLKA_251.38	0x10681AB11D	.hack//Part 2 - Mutation
SCES-52467	SCES_524.67	0x8B514900A5	.hack//Part 2 - Mutation
SLES-52467	SLES_524.67	0x8B51A901A5	.hack//Part 2 - Mutation
SLUS-20562	SLUS_205.62	0x8479852985	.hack//Part 2 - Mutation
SLUS-29055	SLUS_290.55	0xC431CD61A5	.hack//Part 2 - Mutation [Demo]
SLUS-28032	SLUS_280.32	0xFB09F55965	.hack//Part 2 - Mutation [Trade Demo]
SLKA-25145	SLKA_251.45	0x10681AB145	.hack//Part 3 - Outbreak
SCES-52469	SCES_524.69	0x8B51490095	.hack//Part 3 - Outbreak
SLES-52469	SLES_524.69	0x8B51A90195	.hack//Part 3 - Outbreak
SLUS-20563	SLUS_205.63	0x847985298D	.hack//Part 3 - Outbreak
SLUS-29065	SLUS_290.65	0xFC09F5592D	.hack//Part 3 - Outbreak [Demo]
SCES-52468	SCES_524.68	0x8B5149009D	.hack//Part 4 - Quarantine
SLES-52468	SLES_524.68	0x8B51A9019D	.hack//Part 4 - Quarantine
SLUS-20564	SLUS_205.64	0x84798529B5	.hack//Part 4 - Quarantine
SLKA-25174	SLKA_251.74	0x087002A925	.hack//Part 4 - Quarantine
SLUS-29084	SLUS_290.84	0xFC09F55985	.hack//Part 4 - Quarantine [Demo]
SCPS-55029	SCPS_550.29	0x0D91CC8015	.hack//Vol.1
SLPS-25121	SLPS_251.21	0x10A11CB185	.hack//Vol.1
SLPS-73230	SLPS_732.30	0x47A914B9F5	.hack//Vol.1 & Vol.2 [PlayStation 2 The Best] [Vol.1 Disc]
SLPS-73231	SLPS_732.31	0x47A914B9FD	.hack//Vol.1 & Vol.2 [PlayStation 2 The Best] [Vol.2 Disc]
SCPS-55042	SCPS_550.42	0x75E9B4F8D5	.hack//Vol.2
SLPS-25143	SLPS_251.43	0x10A11CB135	.hack//Vol.2 - Mutation
SCAJ-20004	SCAJ_200.04	0x9BEDF8B0AD	.hack//Vol.3
SLPS-25158	SLPS_251.58	0x08B904A9A5	.hack//Vol.3 - Erosion Pollution
SLPS-73232	SLPS_732.32	0x47A914B905	.hack//Vol.3 & Vol.4 [PlayStation 2 The Best] [Vol.3 Disc]
SLPS-73233	SLPS_732.33	0x47A914B90D	.hack//Vol.3 & Vol.4 [PlayStation 2 The Best] [Vol.4 Disc]
SCAJ-20024	SCAJ_200.24	0x9BEDF8B04D	.hack//Vol.4
SLPS-25202	SLPS_252.02	0x00B10CA10D	.hack//Vol.4 - Zettai Houi
SLPM-55148	SLPM_551.48	0x6DFE4CE1BD	007 - Nagusame no Houshuu
SLPS-25203	SLPS_252.03	0x00B10CA105	007 - NightFire
SLES-51258	SLES_512.58	0xBA619931DD	007 - NightFire [Platinum]
SLPM-65763	SLPM_657.63	0xF81EAC0125	007 Goldeneye - Rogue Agent
SLES-52856	SLES_528.56	0x2BF109A15D	10 Most Wanted
SCES-53150	SCES_531.50	0x538991D815	10 Pin - Champions' Alley
SLES-53150	SLES_531.50	0x538971D915	10 Pin - Champions' Alley
SLPM-60262	SLPM_602.62	0x62FE4CE1ED	10th Anniversary Memorial Save Data [Disc 2] [PS2 Taiou]
SLPM-60265	SLPM_602.65	0x62FE4CE195	10th Anniversary PS1 and PS2 All-Soft Catalogue Special SaveData Collection
SLPM-65843	SLPM_658.43	0x886EDC71D5	120-en no Haru - 120yen Stories
SLPM-66901	SLPM_669.01	0x9176C469FD	12Riven - The Psi-Climinal of Integral
CF00-15024	CF00_150.24	0xA6B064902C	12Riven - The Psi-Climinal of Integral [Soundtrack Edition]
SCES-50214	SCES_502.14	0xB96179303D	18 Wheeler
SLES-50214	SLES_502.14	0xB96199313D	18 Wheeler
SLPM-62211	SLPM_622.11	0x7CE654F9DD	18 Wheeler
SCES-51214	SCES_512.14	0xB269713875	18 Wheeler - American Pro Trucker
SLES-51214	SLES_512.14	0xB269913975	18 Wheeler - American Pro Trucker
SLUS-20210	SLUS_202.10	0x2BD12D812D	18 Wheeler - American Pro Trucker
SCES-52276	SCES_522.76	0xBB617930AD	187 - Ride or Die
SLES-52276	SLES_522.76	0xBB619931AD	187 - Ride or Die
SLUS-21116	SLUS_211.16	0x0CF10DA17D	187 - Ride or Die
SCES-51741	SCES_517.41	0x32E9F1B86D	1945 I & II - The Arcade Games
SLES-51741	SLES_517.41	0x32E911B96D	1945 I & II - The Arcade Games
SLPM-62320	SLPM_623.20	0x64FE4CE15D	2003-nen Kaimaku - Ganbare Kyuukai-ou - Iwayuru Pro Yakyuu desu ne
SLPM-62320	SLPM_623.20	0x64FE4CE15D	2003-nen Kaimaku - Ganbare Kyuukai-ou - Iwayuru Pro Yakyuu desu ne
SCED-52194	SCED_521.94	0xCA9A89C0ED	2004 Classics Hitlist
SLES-53357	SLES_533.57	0xAC71892175	21 Card Games
SCES-53358	SCES_533.58	0xAC7169206D	24 - The Game
SLES-53358	SLES_533.58	0xAC7189216D	24 - The Game
SLPM-62132	SLPM_621.32	0x148E3C910D	24 - The Game
SLUS-21268	SLUS_212.68	0x54A955F965	24 - The Game
SCED-53622	SCED_536.22	0x6C3A2960ED	24 - The Game [Demo]
SCES-53199	SCES_531.99	0x439981C88D	25 to Life
SLES-53199	SLES_531.99	0x439961C98D	25 to Life
SLUS-21016	SLUS_210.16	0x14E915B945	25 to Life
SLUS-29129	SLUS_291.29	0xEC19E5493D	25 to Life [Public Beta Vol.1.0]
PCPX-96328	PCPX_963.28	0x4E3C641855	3 Title Special Disc - Saru! Get You! 2 + PoPoLoCrois - Hajimari no Bouken + Boku no Natsuyasumi 2
SLPS-25357	SLPS_253.57	0x58E954F9AD	3-Nen B-Gumi Kinpachi Sensei - Densetsu no Kyoudan ni Tate!
SLPM-66089	SLPM_660.89	0x48AE1CB1C5	3-Nen B-Gumi Kinpachi Sensei - Densetsu no Kyoudan ni Tate! [Best]
SLPS-20214	SLPS_202.14	0x2B912C810D	3D Fighting School 2
SLPS-20318	SLPS_203.18	0x43F944E925	3D Kakutou Tsukuru 2 [Enterbrain Collection]
SLPS-20482	SLPS_204.82	0x9429943915	3D Mahjong + Suzume Paitori
SLPM-65608	SLPM_656.08	0xD036842955	3LDK - Shiawase ni Narouyo
SLPM-65607	SLPM_656.07	0xD03684292D	3LDK - Shiawase ni Narouyo [Limited Edition]
SCES-50194	SCES_501.94	0xB169713895	4x4 Evolution
SLES-50194	SLES_501.94	0xB169913995	4x4 Evolution
SLUS-20091	SLUS_200.91	0x0BF10DA145	4x4 Evolution
SCES-51199	SCES_511.99	0x499189C005	4x4 Evolution II
SLES-51199	SLES_511.99	0x499169C105	4x4 Evolution II
SCES-53734	SCES_537.34	0xCC1109404D	50cent - Bulletproof
SCES-53906	SCES_539.06	0x14C9D19835	50cent - Bulletproof
SCES-53994	SCES_539.94	0x0CD1C980ED	50cent - Bulletproof
SLES-53734	SLES_537.34	0xCC11E9414D	50cent - Bulletproof
SLES-53906	SLES_539.06	0x14C9319935	50cent - Bulletproof
SLES-53994	SLES_539.94	0x0CD12981ED	50cent - Bulletproof
SLUS-21315	SLUS_213.15	0x44B945E9CD	50cent - Bulletproof
SCES-50109	SCES_501.09	0x588199D005	7 Blades
SLES-50109	SLES_501.09	0x588179D105	7 Blades
SLPM-65008	SLPM_650.08	0xC75EEC41FD	7 Blades
SLPM-65057	SLPM_650.57	0x37AE1CB185	7 Blades
SCES-53280	SCES_532.80	0xBC6179300D	7 Sins
SCES-53297	SCES_532.97	0xBC61793085	7 Sins
SLES-53280	SLES_532.80	0xBC6199310D	7 Sins
SLES-53297	SLES_532.97	0xBC61993185	7 Sins
SLES-53364	SLES_533.64	0xAC718921BD	7 Sins
SLES-55069	SLES_550.69	0x75A951F92D	7 Wonders of the Ancient World
SLUS-21693	SLUS_216.93	0xBD41BD11C5	7 Wonders of the Ancient World
SLPS-25672	SLPS_256.72	0x8939842955	7Cafe - Katashiki Mei Bonba Pawafuru 2
SCUS-97373	SCUS_973.73	0xCF796528FD	989 Sports 2004 Demo Disc
SLPS-25082	SLPS_250.82	0xE051EC41AD	A-Ressha de Ikou 2001 Perfect Set
SLPS-25017	SLPS_250.17	0xF041FC51A5	A-Train 2001
SCES-51716	SCES_517.16	0x32E9F1B8A5	A-Train 6
SLES-51716	SLES_517.16	0x32E911B9A5	A-Train 6
SLPS-20006	SLPS_200.06	0x1BA11CB1BD	A-Train 6
SLPS-25829	SLPS_258.29	0xA111AC0115	A.C.E. Another Century's Episode 2 [Special Vocal Version]
SLPS-25743	SLPS_257.43	0xB909B4195D	Aa Megami Sama
SLPS-25894	SLPS_258.94	0xD161DC717D	Aa Megami-sama [Best Collection]
SLPS-25742	SLPS_257.42	0xB909B41955	Aammegami-Sama [Limited Edition]
SLPM-61018	SLPM_610.18	0x2BB604A945	Abarenbou Princess
SCES-51080	SCES_510.80	0x518991D8A5	AC Milan Club Football
SLES-51080	SLES_510.80	0x518971D9A5	AC Milan Club Football
SCES-52656	SCES_526.56	0xDB011950ED	AC Milan Club Football 2005
SLES-52656	SLES_526.56	0xDB01F951ED	AC Milan Club Football 2005
SLES-55457	SLES_554.57	0x9E41B91125	AC/DC LIVE - Rock Band Track Pack
SCES-50410	SCES_504.10	0x895149006D	Ace Combat - Distant Thunder
SLES-50410	SLES_504.10	0x8951A9016D	Ace Combat - Distant Thunder
SCED-53081	SCED_530.81	0xE3B2A1E81D	Ace Combat - Squadron Leader
SCED-53115	SCED_531.15	0xEBBAA9E005	Ace Combat - Squadron Leader
SCES-52424	SCES_524.24	0x8359410875	Ace Combat - Squadron Leader
SLES-52424	SLES_524.24	0x8359A10975	Ace Combat - Squadron Leader
SCES-54041	SCES_540.41	0x74A9B1F80D	Ace Combat - The Belkan War
SLES-54041	SLES_540.41	0x74A951F90D	Ace Combat - The Belkan War
SLPS-25052	SLPS_250.52	0xE859E44995	Ace Combat 4 - Shattered Skies
SLUS-20152	SLUS_201.52	0x3BC13D916D	Ace Combat 4 - Shattered Skies
SLPS-73205	SLPS_732.05	0xBF51EC41D5	Ace Combat 4 - Shattered Skies [PlayStation 2 The Best]
SLPS-73410	SLPS_734.10	0x77992489A5	Ace Combat 4 [PlayStation 2 The Best]
SCAJ-20104	SCAJ_201.04	0xB3C5D098E5	Ace Combat 5 - The Unsung War
SLPS-25418	SLPS_254.18	0x48F944E985	Ace Combat 5 - The Unsung War
SLUS-20851	SLUS_208.51	0xCC31CD61C5	Ace Combat 5 - The Unsung War
SCKA-20082	SCKA_200.82	0x0B78EAA00D	Ace Combat 5 - The Unsung War [BigHits Series]
SCAJ-20136	SCAJ_201.36	0xBBCDD890ED	Ace Combat 5 - The Unsung War [PlayStation 2 The Best]
SLPS-73218	SLPS_732.18	0x47A914B995	Ace Combat 5 - The Unsung War [PlayStation 2 The Best]
SCKA-20042	SCKA_200.42	0x0370E2A8C5	Ace Combat 5: The Unsung War
SCAJ-20173	SCAJ_201.73	0xA3D5C088DD	Ace Combat Zero - The Belkan War
SCKA-20070	SCKA_200.70	0x0B78EAA0AD	Ace Combat Zero - The Belkan War
SLPS-25629	SLPS_256.29	0x99299439ED	Ace Combat Zero - The Belkan War
SLUS-21346	SLUS_213.46	0x4CB14DE1CD	Ace Combat Zero - The Belkan War
SLPS-73250	SLPS_732.50	0x4FA11CB19D	Ace Combat Zero - The Belkan War [PlayStation 2 The Best]
SCES-51503	SCES_515.03	0xFA21397035	Ace Lightning
SLES-51503	SLES_515.03	0xFA21D97135	Ace Lightning
SCES-52532	SCES_525.32	0xFB213970ED	Aces of War
SLES-52532	SLES_525.32	0xFB21D971ED	Aces of War
SLPM-66458	SLPM_664.58	0x20C674D935	Acheter Fuuraiki
SCES-52956	SCES_529.56	0x03D9C18855	Action Girlz Racing
SLES-52956	SLES_529.56	0x03D9218955	Action Girlz Racing
SLES-54617	SLES_546.17	0xE539C1699D	Action Man A.T.O.M. - Alpha Teens on Machines
SLES-50009	SLES_500.09	0x60B941E91D	Action Replay MAX
SCES-51313	SCES_513.13	0xAA71692095	Activision Anthology
SLES-51313	SLES_513.13	0xAA71892195	Activision Anthology
SLUS-20588	SLUS_205.88	0x8C718D217D	Activision Anthology
SCES-52521	SCES_525.21	0xFB21397005	Adibou & Les Voleurs d'Energie
SLES-52521	SLES_525.21	0xFB21D97105	Adibou & Les Voleurs d'Energie
